source_update_id,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y
1,quadtree_20_8_2_2,20,8,2,2,-1.2499999403953552,-5.1800000071525574
1,quadtree_15_8_3_2,15,8,3,2,-2.5999999940395355,-5.1800000071525574
1,quadtree_26_14_2_3,26,14,2,3,0.55000013113021851,-3.2299999296665192
1,quadtree_24_12_2_5,24,12,2,5,-0.049999892711639404,-3.5299999415874481
1,quadtree_23_14_1_3,23,14,1,3,-0.49999991059303284,-3.2299999296665192
1,quadtree_20_10_1_5,20,10,1,5,-1.3999999463558197,-4.129999965429306
1,quadtree_21_14_2_2,21,14,2,2,-0.94999992847442627,-3.3799999356269836
1,quadtree_12_19_5_5,12,19,5,5,-3.2000000178813934,-1.4299998581409454
1,quadtree_21_25_1_4,21,25,1,4,-1.0999999344348907,0.22000020742416382
1,quadtree_19_25_1_2,19,25,1,2,-1.6999999582767487,-0.079999804496765137
1,quadtree_17_26_2_2,17,26,2,2,-2.1499999761581421,0.22000020742416382
1,quadtree_21_33_4_1,21,33,4,1,-0.64999991655349731,2.170000284910202
1,quadtree_26_35_2_2,26,35,2,2,0.55000013113021851,2.9200003147125244
1,quadtree_20_29_1_3,20,29,1,3,-1.3999999463558197,1.2700002491474152
1,quadtree_15_31_5_1,15,31,5,1,-2.2999999821186066,1.5700002610683441
1,quadtree_17_32_4_4,17,32,4,4,-1.8499999642372131,2.3200002908706665
1,quadtree_15_32_2_4,15,32,2,4,-2.75,2.3200002908706665
1,quadtree_21_34_5_3,21,34,5,3,-0.49999991059303284,2.7700003087520599
1,quadtree_18_36_2_1,18,36,2,1,-1.8499999642372131,3.0700003206729889
1,quadtree_12_36_5_1,12,36,5,1,-3.2000000178813934,3.0700003206729889
1,quadtree_8_24_4_3,8,24,4,3,-4.5500000715255737,-0.22999981045722961
1,quadtree_20_1_1_4,20,1,1,4,-1.3999999463558197,-6.9800000786781311
1,quadtree_7_20_1_2,7,20,1,2,-5.3000001013278961,-1.5799998641014099
1,quadtree_9_31_1_4,9,31,1,4,-4.7000000774860382,2.0200002789497375
1,quadtree_2_19_5_3,2,19,5,3,-6.200000137090683,-1.7299998700618744
1,quadtree_10_36_2_1,10,36,2,1,-4.2500000596046448,3.0700003206729889
1,quadtree_6_2_2_3,6,2,2,3,-5.4500001072883606,-6.8300000727176666
1,quadtree_2_36_5_1,2,36,5,1,-6.200000137090683,3.0700003206729889
1,quadtree_12_24_5_4,12,24,5,4,-3.2000000178813934,-0.079999804496765137
1,quadtree_10_31_5_5,10,31,5,5,-3.8000000417232513,2.170000284910202
1,quadtree_1_24_5_5,1,24,5,5,-6.5000001490116119,0.070000201463699341
1,quadtree_6_27_1_2,6,27,1,2,-5.6000001132488251,0.52000021934509277
1,quadtree_20_22_1_5,20,22,1,5,-1.3999999463558197,-0.52999982237815857
1,quadtree_7_27_5_1,7,27,5,1,-4.7000000774860382,0.3700002133846283
1,quadtree_6_22_2_5,6,22,2,5,-5.4500001072883606,-0.52999982237815857
1,quadtree_1_18_1_4,1,18,1,4,-7.1000001728534698,-1.8799998760223389
1,quadtree_1_22_5_2,1,22,5,2,-6.5000001490116119,-0.979999840259552
1,quadtree_26_1_2_2,26,1,2,2,0.55000013113021851,-7.2800000905990601
1,quadtree_19_17_2_5,19,17,2,5,-1.5499999523162842,-2.0299998819828033
1,quadtree_22_27_4_2,22,27,4,2,-0.34999990463256836,0.52000021934509277
1,quadtree_17_3_1_5,17,3,1,5,-2.2999999821186066,-6.2300000488758087
1,quadtree_22_25_2_2,22,25,2,2,-0.64999991655349731,-0.079999804496765137
1,quadtree_24_26_5_1,24,26,5,1,0.40000012516975403,0.070000201463699341
1,quadtree_2_18_3_1,2,18,3,1,-6.5000001490116119,-2.3299998939037323
1,quadtree_4_1_5_1,4,1,5,1,-5.6000001132488251,-7.4300000965595245
1,quadtree_6_13_2_3,6,13,2,3,-5.4500001072883606,-3.5299999415874481
1,quadtree_1_10_5_4,1,10,5,4,-6.5000001490116119,-4.2799999713897705
1,quadtree_9_18_5_1,9,18,5,1,-4.1000000536441803,-2.3299998939037323
1,quadtree_8_14_5_2,8,14,5,2,-4.4000000655651093,-3.3799999356269836
1,quadtree_8_9_1_5,8,9,1,5,-5.0000000894069672,-4.429999977350235
1,quadtree_1_5_3_5,1,5,3,5,-6.8000001609325409,-5.6300000250339508
1,quadtree_14_18_3_1,14,18,3,1,-2.9000000059604645,-2.3299998939037323
1,quadtree_1_2_5_3,1,2,5,3,-6.5000001490116119,-6.8300000727176666
1,quadtree_1_1_3_1,1,1,3,1,-6.8000001609325409,-7.4300000965595245
1,quadtree_8_4_1_5,8,4,1,5,-5.0000000894069672,-5.9300000369548798
1,quadtree_11_5_4_5,11,5,4,5,-3.6500000357627869,-5.6300000250339508
1,quadtree_8_2_1_2,8,2,1,2,-5.0000000894069672,-6.9800000786781311
1,quadtree_11_1_3_4,11,1,3,4,-3.8000000417232513,-6.9800000786781311
1,quadtree_14_1_2_2,14,1,2,2,-3.050000011920929,-7.2800000905990601
1,quadtree_13_14_3_2,13,14,3,2,-3.2000000178813934,-3.3799999356269836
1,quadtree_16_15_3_1,16,15,3,1,-2.2999999821186066,-3.2299999296665192
1,quadtree_2_31_5_5,2,31,5,5,-6.200000137090683,2.170000284910202
1,quadtree_16_14_4_1,16,14,4,1,-2.1499999761581421,-3.5299999415874481
1,quadtree_16_10_1_4,16,10,1,4,-2.5999999940395355,-4.2799999713897705
