parameter	category	official_effective_or_declared	r2_runner_or_launch_default	r2_source	note
hover_forward_export_directory	research instrumentation only	<not set in official GSL node>		launch default	
hover_forward_export_enabled	research instrumentation only	<not set in official GSL node>	false	launch default	
hover_forward_export_every_measurement	research instrumentation only	<not set in official GSL node>	false	launch default	
hover_forward_map_hash	research instrumentation only	<not set in official GSL node>	UNSET	launch default	
hover_forward_pmfs_parameters_hash	research instrumentation only	<not set in official GSL node>	UNSET	launch default	
hover_forward_wind_hash	research instrumentation only	<not set in official GSL node>	UNSET	launch default	
infoTaxis	official PMFS algorithm/forward parameter	true	false	runner	
initialExplorationMoves	official PMFS algorithm/forward parameter	2	2	runner	
iterationsToRecord	official PMFS algorithm/forward parameter	200	200	runner	
kernelSigma	official PMFS algorithm/forward parameter	1.5	0.5	runner	
kernelStretchConstant	official PMFS algorithm/forward parameter	1.5	1.5	runner	
localEstimationWindowSize	official PMFS algorithm/forward parameter	2	2	runner	
markers_height	VGR environment adapter	0.2	0.2	runner	
maxRegionSize	official PMFS algorithm/forward parameter	5	5	runner	
maxSearchTime	budget/evaluation protocol	300.0	300.0	runner	Runner expression; effective value depends on environment/default.
maxUpdatesPerStop	official PMFS algorithm/forward parameter	5	8	runner	
maxWarmupIterations	official PMFS algorithm/forward parameter	500	3	runner	
measurement_block_samples	measurement/sensor protocol	<not set in official GSL node>	10	runner	
measurement_deduplicate_sim_timestamps	measurement/sensor protocol	<not set in official GSL node>	true	runner	
measurement_settle_samples	measurement/sensor protocol	<not set in official GSL node>	0	runner	
method	VGR environment adapter	<not set in official GSL node>	B4_PMFS_official	runner	
method_family	research instrumentation only	<not set in official GSL node>	proposed_ablation	runner	
minWarmupIterations	official PMFS algorithm/forward parameter	200	1	runner	Official SetLaunchConfiguration says 0 but is not passed to GSL; PMFSLib default is 200.
nav_command_quantum_s	VGR environment adapter	<not set in official GSL node>	2.0	runner	Runner expression; effective value depends on environment/default.
noiseSTDev	official PMFS algorithm/forward parameter	0.5	0.5	runner	
openMoveSetExpasion	official PMFS algorithm/forward parameter	5	5	runner	
output_dir	research instrumentation only	<not set in official GSL node>	${RUN_ROOT}	runner	Runner expression; effective value depends on environment/default.
p2_global_seed	research instrumentation only	<not set in official GSL node>	20260818	runner	
p2_shadow_directory	research instrumentation only	<not set in official GSL node>	/tmp/tadm_p2_disabled	runner	
p2_shadow_enabled	research instrumentation only	<not set in official GSL node>	false	runner	
p2_shadow_replicas	research instrumentation only	<not set in official GSL node>	0	runner	
p2_transport_substream	research instrumentation only	<not set in official GSL node>	5788047269812129363	launch default	
parameter_manifest_json	research instrumentation only	<not set in official GSL node>		launch default	
parameter_manifest_sha256	research instrumentation only	<not set in official GSL node>	UNKNOWN	launch default	
path_budget_m	budget/evaluation protocol	<not set in official GSL node>	-1.0	runner	
pfdi_mode	research instrumentation only	<not set in official GSL node>	${PFDI_MODE}	runner	Runner expression; effective value depends on environment/default.
posterior_guidance_weight	research instrumentation only	<not set in official GSL node>	${POSTERIOR_GUIDANCE_WEIGHT}	runner	Runner expression; effective value depends on environment/default.
raw_env_root	VGR environment adapter	<not set in official GSL node>		launch default	
raw_gas_results	VGR environment adapter	<not set in official GSL node>		launch default	
raw_query_executable	VGR environment adapter	<not set in official GSL node>	${RAW_QUERY}	runner	Runner expression; effective value depends on environment/default.
realtime_factor	VGR environment adapter	<not set in official GSL node>	1	runner	Runner expression; effective value depends on environment/default.
refineFraction	official PMFS algorithm/forward parameter	0.1	0.25	runner	
repo_root	VGR environment adapter	<not set in official GSL node>	/home/zyc/gsl_ws/src/GasSourceLocalization	launch default	
resultsFile	research instrumentation only	A1	<not declared>	not declared	
robot_location_topic	VGR environment adapter	ground_truth	<not declared>	not declared	
run_dir	research instrumentation only	<not set in official GSL node>	${RUN_DIR}	runner	Runner expression; effective value depends on environment/default.
run_id	research instrumentation only	<not set in official GSL node>	${RUN_ID}	runner	Runner expression; effective value depends on environment/default.
run_uuid	research instrumentation only	<not set in official GSL node>	${RUN_ID}	runner	Runner expression; effective value depends on environment/default.
scale	VGR environment adapter	25	3	runner	
scenario_id	VGR environment adapter	<not set in official GSL node>	${SCENARIO_ID}	runner	Runner expression; effective value depends on environment/default.
scenario_manifest_json	research instrumentation only	<not set in official GSL node>		launch default	
scenario_manifest_sha256	research instrumentation only	<not set in official GSL node>	UNKNOWN	launch default	
seed	budget/evaluation protocol	<not set in official GSL node>	${SEED}	runner	Runner expression; effective value depends on environment/default.
sensor_config	measurement/sensor protocol	<not set in official GSL node>	fopdt_tau1p2_dead0p4_noise0	runner	
sensor_model_mode	measurement/sensor protocol	<not set in official GSL node>	dynamic	runner	
sim_stop_at_s	VGR environment adapter	<not set in official GSL node>	-1.0	runner	Runner expression; effective value depends on environment/default.
sourceDiscriminationPower	official PMFS algorithm/forward parameter	0.3	1	runner	
source_config	VGR environment adapter	<not set in official GSL node>	official_gaden_source	runner	
source_x	VGR environment adapter	<not set in official GSL node>	${SOURCE_X}	runner	Runner expression; effective value depends on environment/default.
source_y	VGR environment adapter	<not set in official GSL node>	${SOURCE_Y}	runner	Runner expression; effective value depends on environment/default.
source_z	VGR environment adapter	<not set in official GSL node>	${SOURCE_Z}	runner	Runner expression; effective value depends on environment/default.
start_config	VGR environment adapter	<not set in official GSL node>	frozen_native_start	runner	
start_x	VGR environment adapter	<not set in official GSL node>	${START_X}	runner	Runner expression; effective value depends on environment/default.
start_y	VGR environment adapter	<not set in official GSL node>	${START_Y}	runner	Runner expression; effective value depends on environment/default.
stdevHit	VGR environment adapter	1	<not declared>	not declared	
stdevMiss	VGR environment adapter	1.2	<not declared>	not declared	
step	VGR environment adapter	0.5	<not declared>	not declared	
stepsSourceUpdate	official PMFS algorithm/forward parameter	3	10	runner	Runner expression; effective value depends on environment/default.
stop_and_measure_time	measurement/sensor protocol	0.4	<not declared>	not declared	
tadm_directory	research instrumentation only	<not set in official GSL node>	${TADM_DIR}	runner	Runner expression; effective value depends on environment/default.
tadm_enabled	research instrumentation only	<not set in official GSL node>	${TADM_ENABLED}	runner	Runner expression; effective value depends on environment/default.
tadm_global_seed	research instrumentation only	<not set in official GSL node>	20260818	runner	
tadm_prior_set	research instrumentation only	<not set in official GSL node>	${TADM_PRIOR_SET}	runner	Runner expression; effective value depends on environment/default.
tadm_replicas	research instrumentation only	<not set in official GSL node>	${TADM_REPLICAS}	runner	Runner expression; effective value depends on environment/default.
tadm_transport_substream	research instrumentation only	<not set in official GSL node>	6077111455669390931	runner	
tau_adaptive	research instrumentation only	<not set in official GSL node>	0	runner	
tau_alpha	research instrumentation only	<not set in official GSL node>	0.3	runner	
tau_ess_target_ratio	research instrumentation only	<not set in official GSL node>	0.5	runner	
temperature_tau	research instrumentation only	<not set in official GSL node>	1	runner	
th_gas_present	measurement/sensor protocol	0.1	<not declared>	not declared	
th_wind_present	measurement/sensor protocol	0.02	<not declared>	not declared	
timeout_sec	budget/evaluation protocol	<not set in official GSL node>	300.0	runner	Runner expression; effective value depends on environment/default.
tnqc_mode	research instrumentation only	<not set in official GSL node>	${TNQC_MODE}	runner	Runner expression; effective value depends on environment/default.
useDiffusionTerm	VGR environment adapter	true	<not declared>	not declared	
useWindGroundTruth	official PMFS algorithm/forward parameter	true	false	runner	
use_av_rise	research instrumentation only	<not set in official GSL node>	0	launch default	
use_beacon	research instrumentation only	<not set in official GSL node>	0	runner	
use_beacon_tr	research instrumentation only	<not set in official GSL node>	0	runner	
use_entropy_only_active	research instrumentation only	<not set in official GSL node>	0	launch default	
use_evidence_splat_beacon	research instrumentation only	<not set in official GSL node>	0	launch default	
use_gui	research instrumentation only	<not set in official GSL node>	false	runner	
use_hmm	research instrumentation only	<not set in official GSL node>	0	runner	
use_iasc	research instrumentation only	<not set in official GSL node>	1	runner	
use_infotaxis	official PMFS algorithm/forward parameter	<not set in official GSL node>	false	runner	
use_kb_tme	research instrumentation only	<not set in official GSL node>	0	launch default	
use_pcrd	research instrumentation only	<not set in official GSL node>	0	runner	
use_pgn	research instrumentation only	<not set in official GSL node>	0	runner	
use_sage	research instrumentation only	<not set in official GSL node>	0	runner	
use_sapa_hpa	research instrumentation only	<not set in official GSL node>	0	launch default	
use_sapa_sig	research instrumentation only	<not set in official GSL node>	0	launch default	
use_sdbe	research instrumentation only	<not set in official GSL node>	1	runner	
use_sepf	research instrumentation only	<not set in official GSL node>	1	runner	
use_sim_time	VGR environment adapter	false	<not declared>	not declared	
use_tpp	research instrumentation only	<not set in official GSL node>	0	runner	
vgr_data_path	VGR environment adapter	<not set in official GSL node>	${VGR_DATA}	runner	Runner expression; effective value depends on environment/default.
wind_config	VGR environment adapter	<not set in official GSL node>	official_gaden_wind	runner	
